Date,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Paraguay,Peru,Poland,Russia,South Africa,Spain,Sweden,Switzerland,Ukraine,US,Uruguay
2014-08-10,180.0,1900.0,502.0,13.0,210.0,195.0,167.0,763.0,19.0,2.0,331.0,25.0,5.0,865.0,16.0,198.0,21.0,349.0,143.0,9.0,513.0,257.0,4242.0,5.0,1.0,28.0,212.0,1059.0
2014-08-03,180.0,1841.0,501.0,13.0,213.0,196.0,164.0,757.0,20.0,2.0,330.0,24.0,6.0,871.0,16.0,202.0,22.0,352.0,141.0,9.0,515.0,254.0,4253.0,5.0,1.0,25.0,208.0,1063.0
2014-07-27,202.0,1559.0,509.0,14.0,94.0,181.0,165.0,754.0,26.0,2.0,341.0,24.0,6.0,879.0,15.0,166.0,20.0,364.0,135.0,10.0,527.0,239.0,3763.0,5.0,2.0,21.0,205.0,1023.0
2014-07-20,227.0,1259.0,540.0,15.0,42.0,179.0,174.0,743.0,53.0,2.0,377.0,26.0,6.0,956.0,13.0,171.0,19.0,398.0,143.0,10.0,522.0,249.0,3603.0,9.0,2.0,21.0,195.0,1008.0
2014-07-13,245.0,1078.0,591.0,16.0,44.0,178.0,189.0,822.0,108.0,3.0,398.0,27.0,6.0,953.0,14.0,157.0,18.0,415.0,134.0,11.0,528.0,257.0,4200.0,9.0,1.0,26.0,177.0,1028.0
2014-07-06,251.0,927.0,577.0,18.0,44.0,182.0,199.0,772.0,154.0,3.0,415.0,30.0,6.0,947.0,16.0,174.0,26.0,378.0,141.0,12.0,517.0,279.0,4472.0,9.0,2.0,26.0,187.0,964.0
2014-06-29,274.0,729.0,569.0,18.0,211.0,197.0,208.0,901.0,145.0,2.0,420.0,33.0,7.0,906.0,17.0,132.0,33.0,353.0,143.0,13.0,532.0,280.0,4283.0,11.0,2.0,24.0,209.0,990.0
2014-06-22,239.0,714.0,562.0,14.0,215.0,209.0,210.0,916.0,92.0,2.0,416.0,32.0,7.0,904.0,16.0,114.0,33.0,324.0,142.0,14.0,523.0,274.0,4634.0,10.0,2.0,17.0,212.0,995.0
2014-06-15,228.0,719.0,594.0,19.0,194.0,212.0,211.0,953.0,52.0,3.0,378.0,35.0,9.0,934.0,17.0,84.0,37.0,351.0,134.0,15.0,532.0,281.0,4010.0,8.0,2.0,18.0,206.0,1054.0
2014-06-08,190.0,599.0,632.0,21.0,214.0,212.0,226.0,1013.0,28.0,3.0,382.0,43.0,12.0,977.0,15.0,79.0,34.0,352.0,137.0,15.0,538.0,291.0,3587.0,12.0,2.0,20.0,202.0,1071.0
2014-06-01,184.0,515.0,793.0,28.0,200.0,226.0,250.0,1101.0,19.0,5.0,468.0,40.0,14.0,1091.0,17.0,81.0,43.0,351.0,140.0,16.0,562.0,312.0,3492.0,17.0,2.0,22.0,202.0,1155.0
2014-05-25,171.0,520.0,715.0,30.0,234.0,227.0,256.0,1218.0,15.0,6.0,425.0,41.0,18.0,1057.0,15.0,66.0,48.0,356.0,141.0,15.0,601.0,358.0,3338.0,18.0,2.0,23.0,197.0,1318.0
2014-05-18,164.0,492.0,806.0,38.0,223.0,238.0,271.0,1448.0,14.0,5.0,477.0,42.0,32.0,1082.0,19.0,53.0,69.0,313.0,144.0,17.0,616.0,404.0,3223.0,18.0,3.0,29.0,222.0,1289.0
2014-05-11,142.0,485.0,755.0,40.0,227.0,245.0,295.0,1481.0,14.0,6.0,491.0,41.0,47.0,1005.0,21.0,45.0,64.0,291.0,143.0,17.0,602.0,448.0,3088.0,18.0,3.0,27.0,249.0,1339.0
2014-05-04,138.0,410.0,762.0,34.0,256.0,235.0,378.0,1571.0,14.0,7.0,490.0,43.0,73.0,963.0,21.0,35.0,61.0,272.0,138.0,17.0,604.0,588.0,2792.0,20.0,3.0,29.0,300.0,1415.0
2014-04-27,123.0,390.0,736.0,33.0,236.0,227.0,326.0,1699.0,12.0,10.0,472.0,42.0,128.0,1003.0,23.0,38.0,43.0,222.0,136.0,20.0,613.0,687.0,2883.0,21.0,3.0,27.0,337.0,1467.0
2014-04-20,125.0,308.0,846.0,41.0,231.0,210.0,298.0,1959.0,16.0,11.0,555.0,55.0,195.0,1108.0,35.0,28.0,58.0,213.0,142.0,23.0,640.0,640.0,3123.0,23.0,5.0,35.0,347.0,1530.0
2014-04-13,110.0,271.0,822.0,55.0,190.0,185.0,312.0,1957.0,13.0,14.0,614.0,64.0,228.0,1218.0,30.0,25.0,45.0,203.0,134.0,26.0,650.0,637.0,2774.0,28.0,4.0,31.0,358.0,1607.0
2014-04-06,101.0,289.0,950.0,88.0,208.0,182.0,376.0,2120.0,14.0,17.0,714.0,59.0,239.0,1243.0,30.0,30.0,72.0,221.0,142.0,32.0,722.0,643.0,3022.0,26.0,6.0,48.0,369.0,1771.0
2014-03-30,107.0,292.0,1123.0,123.0,217.0,166.0,370.0,2144.0,11.0,20.0,768.0,76.0,379.0,1243.0,34.0,31.0,82.0,224.0,135.0,41.0,823.0,701.0,2970.0,34.0,5.0,59.0,404.0,1778.0
2014-03-23,118.0,300.0,1183.0,150.0,204.0,162.0,404.0,2241.0,8.0,25.0,824.0,96.0,873.0,1302.0,34.0,28.0,85.0,214.0,126.0,52.0,910.0,761.0,2852.0,33.0,6.0,90.0,420.0,1750.0
2014-03-16,104.0,268.0,1317.0,153.0,190.0,149.0,539.0,2328.0,6.0,36.0,910.0,138.0,1267.0,1418.0,34.0,24.0,96.0,216.0,113.0,75.0,966.0,767.0,2822.0,36.0,8.0,98.0,481.0,1738.0
2014-03-09,91.0,242.0,1473.0,196.0,203.0,149.0,563.0,2461.0,4.0,54.0,1018.0,187.0,1634.0,1533.0,38.0,21.0,82.0,190.0,109.0,80.0,942.0,990.0,2611.0,44.0,9.0,141.0,574.0,1773.0
2014-03-02,82.0,215.0,1491.0,256.0,154.0,139.0,505.0,2637.0,3.0,95.0,1138.0,299.0,2394.0,1595.0,42.0,25.0,113.0,150.0,103.0,84.0,913.0,1002.0,2319.0,53.0,9.0,188.0,585.0,1873.0
2014-02-23,78.0,182.0,1565.0,411.0,152.0,133.0,643.0,2861.0,2.0,191.0,1108.0,305.0,3311.0,1615.0,46.0,17.0,131.0,140.0,94.0,62.0,856.0,993.0,2434.0,54.0,12.0,196.0,564.0,1986.0
